UP,Down,contronler,hard
0,0,contronler_254,hard_1
0,0,contronler_255,hard_1
0,0,contronler_256,hard_1
0,0,contronler_257,hard_1
0,0,contronler_258,hard_1
0,0,contronler_259,hard_1
0,0,contronler_260,hard_1
0,0,contronler_261,hard_1
0,0,contronler_262,hard_1
0,0,contronler_263,hard_1
0,0,contronler_264,hard_1
0,0,contronler_265,hard_1
0,0,contronler_266,hard_2
0,0,contronler_266,hard_2
0,0,contronler_267,hard_2
0,0,contronler_268,hard_2
0,0,contronler_269,hard_2
0,0,contronler_269,hard_2
0,0,contronler_270,hard_2
0,0,contronler_270,hard_2
0,0,contronler_271,hard_2
0,0,contronler_271,hard_2
0,0,contronler_272,hard_2
0,0,contronler_272,hard_2
0,0,contronler_273,hard_2
0,0,contronler_273,hard_2
0,0,contronler_274,hard_2
0,0,contronler_275,hard_2
0,0,contronler_275,hard_2
0,0,contronler_275,hard_2
0,0,contronler_276,hard_2
0,0,contronler_276,hard_2
0,0,contronler_276,hard_2
0,0,contronler_277,hard_2
0,0,contronler_277,hard_2
0,0,contronler_278,hard_2
0,0,contronler_278,hard_2
0,0,contronler_279,hard_2
0,0,contronler_279,hard_2
0,0,contronler_279,hard_2
0,0,contronler_280,hard_2
0,0,contronler_281,hard_2
0,0,contronler_281,hard_2
0,0,contronler_282,hard_2
0,0,contronler_283,hard_2
0,0,contronler_283,hard_2
0,0,contronler_283,hard_2
0,0,contronler_284,hard_2
0,0,contronler_284,hard_2
0,0,contronler_285,hard_2
0,0,contronler_285,hard_2
0,0,contronler_286,hard_2
0,0,contronler_286,hard_2
0,0,contronler_287,hard_2
0,0,contronler_287,hard_2
0,0,contronler_288,hard_2
0,0,contronler_288,hard_2
0,0,contronler_289,hard_2
0,0,contronler_290,hard_2
0,0,contronler_290,hard_2
0,0,contronler_291,hard_2
0,0,contronler_291,hard_2
0,0,contronler_292,hard_2
0,0,contronler_292,hard_2
0,0,contronler_292,hard_2
0,0,contronler_293,hard_2
0,0,contronler_293,hard_2
0,0,contronler_294,hard_2
0,0,contronler_295,hard_2
0,0,contronler_296,hard_2
0,0,contronler_296,hard_2
0,0,contronler_297,hard_2
0,0,contronler_297,hard_2
0,0,contronler_298,hard_2
0,0,contronler_299,hard_2
0,0,contronler_299,hard_2
0,0,contronler_300,hard_2
0,0,contronler_300,hard_2
0,0,contronler_301,hard_2
0,0,contronler_301,hard_2
0,0,contronler_302,hard_2
0,0,contronler_302,hard_2
0,0,contronler_303,hard_2
0,0,contronler_303,hard_2
0,0,contronler_303,hard_2
0,0,contronler_303,hard_2
0,0,contronler_304,hard_2
0,0,contronler_305,hard_2
0,0,contronler_305,hard_2
0,0,contronler_305,hard_2
0,0,contronler_306,hard_2
0,0,contronler_306,hard_2
0,0,contronler_306,hard_2
0,0,contronler_307,hard_2
0,0,contronler_307,hard_2
0,0,contronler_307,hard_2
0,0,contronler_308,hard_2
0,0,contronler_309,hard_2
0,0,contronler_310,hard_2
0,0,contronler_310,hard_2
0,0,contronler_311,hard_2
0,0,contronler_312,hard_2
0,0,contronler_312,hard_2
0,0,contronler_313,hard_2
0,0,contronler_313,hard_2
0,0,contronler_314,hard_2
0,0,contronler_315,hard_2
0,0,contronler_316,hard_2
0,0,contronler_317,hard_2
0,0,contronler_318,hard_2
0,0,contronler_318,hard_2
0,0,contronler_318,hard_2
0,0,contronler_319,hard_2
0,0,contronler_320,hard_2
0,0,contronler_321,hard_2
0,0,contronler_322,hard_2
0,0,contronler_323,hard_2
0,0,contronler_323,hard_2
0,0,contronler_323,hard_2
0,0,contronler_323,hard_2
0,0,contronler_323,hard_2
0,0,contronler_324,hard_2
0,0,contronler_324,hard_2
0,0,contronler_325,hard_2
0,0,contronler_325,hard_2
0,0,contronler_326,hard_2
0,0,contronler_326,hard_2
0,0,contronler_327,hard_2
0,0,contronler_327,hard_2
0,0,contronler_327,hard_2
0,0,contronler_328,hard_2
0,0,contronler_329,hard_2
0,0,contronler_329,hard_2
0,0,contronler_329,hard_2
0,0,contronler_329,hard_2
0,0,contronler_330,hard_2
0,0,contronler_330,hard_2
0,0,contronler_331,hard_2
0,0,contronler_332,hard_2
0,0,contronler_333,hard_2
0,0,contronler_334,hard_2
0,0,contronler_334,hard_2
0,0,contronler_334,hard_2
0,0,contronler_334,hard_2
0,0,contronler_335,hard_2
0,0,contronler_336,hard_2
0,0,contronler_336,hard_2
0,0,contronler_336,hard_2
0,0,contronler_337,hard_2
0,0,contronler_338,hard_2
0,0,contronler_338,hard_2
0,0,contronler_338,hard_2
0,0,contronler_339,hard_2
0,0,contronler_339,hard_2
0,0,contronler_339,hard_2
0,0,contronler_340,hard_2
0,0,contronler_341,hard_2
